Label,Elapsed Time,Pace,Avg Cadence,Avg HR,Max HR,Avg Gradient,Intensity,Zone
,120,-,,93,109,0%,54%,1
,120,-,,104,116,0%,61%,1
,120,-,,112,121,0%,65%,1
,120,-,,96,110,0%,56%,1
,120,-,,104,123,0%,61%,1
,120,-,,97,109,0%,57%,1
,120,-,,102,110,0%,60%,1
,120,-,,83,107,0%,48%,1
,120,-,,104,120,0%,61%,1
,120,-,,103,114,0%,60%,1
,120,-,,102,114,0%,60%,1
,120,-,,95,104,0%,55%,1
,120,-,,100,105,0%,58%,1
,120,-,,111,128,0%,65%,1
,120,-,,114,138,0%,67%,1
,120,-,,116,129,0%,68%,1
,120,-,,108,115,0%,63%,1
,120,-,,100,108,0%,58%,1
,120,-,,113,144,0%,66%,1
,120,-,,107,119,0%,62%,1
,120,-,,106,113,0%,62%,1
,120,-,,123,139,0%,72%,1
,120,-,,121,141,0%,71%,1
,120,-,,113,125,0%,66%,1
,120,-,,110,124,0%,64%,1
,120,-,,99,131,0%,58%,1
,120,-,,110,126,0%,64%,1
,120,-,,96,106,0%,56%,1
,120,-,,106,140,0%,62%,1
,8,-,,117,119,0%,68%,1
