Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,250m,5:55,98,125,2.5%,118,6:47,6m,0m,250m,342,50/50,98,10.1,1.00
,251m,5:34,122,129,2.6%,84,5:22,5m,250m,502m,370,50/50,96,9.5,1.01
,248m,5:42,130,137,2.6%,85,5:43,7m,502m,750m,378,50/50,94,9.3,0.98
,250m,5:36,125,135,-1.1%,84,6:00,0m,750m,1km,311,51/49,97,9.6,1.00
,251m,5:42,129,136,0.8%,86,5:34,1m,1km,1.25km,343,50/50,93,9.2,0.98
,250m,5:28,132,136,0.3%,82,5:36,0m,1.25km,1.5km,348,50/50,92,8.9,1.01
,249m,5:32,133,137,0.7%,83,5:19,1m,1.5km,1.75km,362,50/50,93,9,0.99
,249m,5:33,134,138,1.2%,83,5:42,2m,1.75km,2km,355,50/50,91,9,0.99
,251m,5:35,135,138,1.1%,84,5:34,2m,2km,2.25km,356,50/50,90,8.9,0.98
,248m,5:50,132,135,0.9%,87,5:41,2m,2.25km,2.5km,345,49/51,91,9.2,0.96
,251m,5:42,133,137,1%,86,5:37,1m,2.5km,2.75km,333,49/51,89,9.2,0.96
,250m,5:31,135,139,0.3%,83,5:32,1m,2.75km,3km,341,49/51,91,8.9,0.99
,248m,5:30,134,138,-0.5%,82,5:11,0m,3km,3.25km,334,49/51,92,9,1.00
,248m,5:39,139,143,0.7%,84,5:21,1m,3.25km,3.5km,342,49/51,91,9,0.97
,252m,5:48,139,145,-4.7%,194,5:31,6m,3.5km,3.75km,354,49/51,90,9.8,0.96
,247m,5:51,131,143,7.4%,87,5:08,18m,3.75km,4km,396,51/49,92,9.5,0.96
,250m,5:55,141,146,3.1%,94,5:45,8m,4km,4.25km,360,51/49,91,9.3,0.96
,250m,5:59,139,144,3.4%,90,5:26,8m,4.25km,4.5km,356,51/49,90,9.5,0.93
,248m,6:06,150,156,4.1%,99,5:39,10m,4.5km,4.75km,359,51/49,90,9.4,0.93
,251m,5:50,140,146,2.3%,88,5:33,5m,4.75km,5km,359,50/50,92,9.5,0.95
,249m,6:00,150,155,4.5%,90,5:21,10m,5km,5.25km,388,50/50,90,9.6,0.92
,248m,5:06,143,153,-3.7%,76,5:34,1m,5.25km,5.5km,323,49/51,94,8.8,1.06
,250m,5:12,140,145,-3.4%,78,5:33,0m,5.5km,5.75km,327,50/50,95,8.9,1.05
,252m,5:25,143,148,0.4%,82,5:25,1m,5.75km,6km,346,50/50,94,9.1,1.01
,249m,5:09,144,149,-4.9%,77,5:24,0m,6km,6.25km,312,50/50,96,8.9,1.06
,249m,5:13,145,149,-2.1%,78,5:12,0m,6.25km,6.5km,334,50/50,96,8.8,1.04
,250m,5:31,141,145,-1.5%,83,5:31,0m,6.5km,6.75km,325,50/50,96,9.3,1.00
,248m,5:10,142,145,-1.2%,77,5:28,1m,6.75km,7km,340,50/50,96,8.9,1.06
,250m,5:19,138,145,-4.6%,80,5:41,0m,7km,7.25km,309,50/50,101,9.4,1.05
,250m,5:32,132,135,-5.7%,83,6:12,0m,7.25km,7.5km,292,50/50,98,9.7,1.01
,248m,5:22,133,139,-1.9%,80,5:45,0m,7.5km,7.75km,316,50/50,94,8.9,1.03
,251m,5:22,141,147,-0.1%,81,5:28,1m,7.75km,8km,341,50/50,94,9,1.02
,249m,5:25,143,148,0.8%,81,5:17,1m,8km,8.25km,349,50/50,94,9,1.02
,251m,5:23,138,144,-3.3%,81,5:45,0m,8.25km,8.5km,316,50/50,97,9.1,1.04
,249m,5:37,143,152,2.7%,84,5:21,6m,8.5km,8.75km,376,51/49,94,9.1,0.99
,250m,5:27,148,151,1.1%,82,5:33,2m,8.75km,9km,345,50/50,95,9.2,1.02
,248m,5:18,147,150,-0.2%,79,5:20,1m,9km,9.25km,346,50/50,96,9,1.04
,249m,5:04,146,149,0%,76,5:10,1m,9.25km,9.5km,353,50/50,97,8.7,1.08
,251m,5:07,148,150,0.2%,77,5:08,0m,9.5km,9.75km,370,50/50,96,8.7,1.07
,251m,5:06,145,149,-0.8%,77,5:14,0m,9.75km,10km,351,50/50,96,8.7,1.07
,248m,5:10,143,148,-0.9%,77,5:18,0m,10km,10.25km,349,51/49,97,8.9,1.06
,249m,5:05,143,146,-1.3%,76,5:20,0m,10.25km,10.5km,345,50/50,98,8.9,1.08
,251m,4:59,146,149,-1.5%,75,5:10,0m,10.5km,10.75km,352,50/50,97,8.5,1.09
,249m,4:48,148,150,-1.5%,72,4:55,0m,10.75km,11km,359,50/50,96,8.3,1.12
,248m,4:58,151,153,-0.5%,74,4:58,0m,11km,11.25km,369,50/50,97,8.5,1.10
,251m,5:06,148,150,-1%,77,5:15,0m,11.25km,11.5km,344,50/50,97,8.8,1.08
,251m,5:07,148,150,0.5%,77,5:15,1m,11.5km,11.75km,375,51/49,98,8.9,1.08
,248m,5:06,149,152,-1.3%,76,5:14,0m,11.75km,12km,347,50/50,98,8.9,1.08
,249m,5:13,147,151,0.8%,78,5:09,1m,12km,12.25km,362,50/50,95,8.8,1.05
,248m,5:21,150,153,0%,80,5:25,1m,12.25km,12.5km,354,51/49,93,8.9,1.03
,252m,5:25,150,153,2%,82,5:10,4m,12.5km,12.75km,370,51/49,93,8.9,1.01
,249m,5:05,146,151,-2.5%,76,5:18,0m,12.75km,13km,327,51/49,95,8.9,1.07
,251m,5:10,145,147,-0.9%,78,5:25,0m,13km,13.25km,344,50/50,95,8.7,1.05
,140m,5:14,145,147,-1.9%,44,5:07,0m,13.25km,13.39km,348,51/49,98,8.5,1.05
