Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,252m,5:56,114,136,3%,90,6:02,6m,1m,254m,356,50/50,96,10.4,0.97
,248m,5:46,135,140,1.4%,86,5:33,2m,254m,503m,349,50/50,97,9.7,0.98
,250m,5:28,138,142,0.6%,82,5:31,1m,503m,753m,344,49/51,98,9.4,1.03
,249m,5:28,143,148,0.5%,82,5:15,1m,753m,1km,356,50/50,100,9.6,1.02
,250m,5:31,145,154,1.8%,83,5:25,4m,1km,1.25km,357,50/50,96,9.3,1.01
,248m,5:29,148,153,-0.1%,82,5:32,0m,1.25km,1.5km,346,50/50,95,9.3,1.01
,250m,5:28,150,153,1.1%,82,5:24,2m,1.5km,1.75km,359,50/50,95,9.2,1.01
,251m,5:26,151,154,-0.4%,82,5:33,0m,1.75km,2km,333,49/51,95,9.1,1.02
,249m,5:20,152,155,-1.2%,80,5:27,0m,2km,2.25km,334,50/50,96,9,1.04
,249m,5:21,153,156,-0.8%,80,5:32,0m,2.25km,2.5km,334,50/50,97,9,1.05
,249m,5:33,153,158,0.3%,83,5:29,1m,2.5km,2.75km,343,50/50,95,9.1,1.01
,251m,5:26,151,156,-0.7%,82,5:44,0m,2.75km,3km,325,49/51,95,9.1,1.03
,249m,5:25,150,155,-1.4%,81,5:35,0m,3km,3.25km,322,50/50,95,9,1.03
,251m,5:31,156,160,0.8%,83,5:28,2m,3.25km,3.5km,349,50/50,94,9,1.01
,248m,5:14,140,154,-2.1%,154,5:48,1m,3.5km,3.75km,334,51/49,93,8.9,1.06
,249m,5:25,150,153,0.4%,81,5:28,0m,3.75km,4km,329,50/50,92,8.8,1.02
,251m,5:22,157,162,1.1%,81,5:13,5m,4km,4.25km,376,50/50,94,9,1.03
,249m,5:25,152,158,-0.7%,81,5:28,0m,4.25km,4.5km,320,50/50,95,9.1,1.02
,251m,5:22,150,154,-1.1%,81,5:48,0m,4.5km,4.75km,331,50/50,96,9.2,1.04
,249m,5:29,150,153,-0.6%,82,5:31,0m,4.75km,5km,326,50/50,98,9.2,1.02
,251m,5:26,153,156,-0.7%,82,5:29,0m,5km,5.25km,337,50/50,98,9.3,1.03
,248m,5:25,147,154,-2.8%,111,6:07,1m,5.25km,5.5km,314,50/50,97,9.3,1.03
,250m,5:20,145,151,-1.3%,80,5:34,0m,5.5km,5.75km,330,50/50,98,9.2,1.04
,248m,5:30,148,153,0.3%,82,5:27,0m,5.75km,6km,344,50/50,94,9.1,1.01
,251m,5:30,152,155,-0.4%,83,5:29,0m,6km,6.25km,331,50/50,94,9.1,1.01
,250m,5:27,154,156,0.6%,82,5:31,1m,6.25km,6.5km,349,50/50,96,9.3,1.02
,249m,5:16,153,156,-0.3%,79,5:28,0m,6.5km,6.75km,346,50/50,101,9.4,1.06
,249m,5:20,155,157,-0.5%,80,5:26,0m,6.75km,7km,341,50/50,99,9.2,1.05
,250m,5:32,154,157,-0.1%,83,5:25,0m,7km,7.25km,344,50/50,96,9.2,1.01
,247m,5:35,153,155,-0.1%,83,5:41,0m,7.25km,7.5km,332,50/50,96,9.3,1.01
,251m,5:38,155,158,0.1%,85,5:39,0m,7.5km,7.75km,337,50/50,97,9.4,1.00
,250m,5:36,153,158,0.4%,84,5:08,1m,7.75km,8km,336,50/50,97,9.4,1.00
,250m,5:36,154,157,0.1%,84,6:00,1m,8km,8.25km,335,50/50,97,9.5,1.00
,250m,5:32,154,157,-0.2%,83,5:40,0m,8.25km,8.5km,332,50/50,99,9.6,1.02
,248m,5:34,155,158,-0.1%,83,5:32,0m,8.5km,8.75km,340,50/50,100,9.6,1.01
,252m,5:25,157,159,0.1%,82,5:38,1m,8.75km,9km,346,50/50,99,9.4,1.03
,247m,5:23,158,160,0.4%,80,5:18,1m,9km,9.25km,352,51/49,98,9.2,1.03
,250m,5:31,157,160,-0.4%,83,5:30,0m,9.25km,9.5km,332,50/50,94,9.2,1.01
,250m,5:31,155,160,0.5%,83,5:21,1m,9.5km,9.75km,347,50/50,99,9.3,1.02
,248m,5:34,157,162,2%,83,5:21,5m,9.75km,10km,364,51/49,95,9.3,1.01
,14m,7:58,157,158,5.4%,7,5:27,0m,10km,10.01km,350,51/49,92,9.3,0.71
